Symbol,Name,Last,Change,%Chg,Open,High,Low,Volume,Time
A,"Agilent Technologies",98.57,0.64,+0.65%,98.88,100.1,98.24,1870513,09/10/20
AA,"Alcoa Corp",13.78,-0.32,-2.27%,14.15,14.34,13.73,4195310,09/10/20
AAL,"American Airlines Gp",13.01,-0.05,-0.34%,13.21,13.49,12.97,52039680,09/10/20
AAN,"Aaron's Inc",59.18,4.03,+7.31%,58.81,60.7,57.9,1731077,09/10/20
AAOI,"Applied Optoelect",9.86,-0.38,-3.71%,10.39,10.46,9.86,505397,09/10/20
AAON,"Aaon Inc",56.09,0.45,+0.81%,55.64,56.48,55.27,263095,09/10/20
AAP,"Advance Auto Parts Inc",153.56,-0.79,-0.51%,154.65,155.71,153.1,418732,09/10/20
AAPL,"Apple Inc",113.49,-3.83,-3.26%,120.36,120.5,112.5,180527281,09/10/20
AAT,"American Assets Trust",25.14,-0.16,-0.63%,25.31,25.38,24.86,234016,09/10/20
AAWW,"Atlas Air Ww",57.16,1.58,+2.84%,56.5,57.8,56.47,545911,09/10/20
AAXN,"Axon Inc",84.29,-0.95,-1.11%,85.47,87.29,83.91,579051,09/10/20
ABBV,"Abbvie Inc",89.65,-1.98,-2.16%,91.07,91.41,89.48,8874860,09/10/20
ABC,"Amerisourcebergen Corp",94.27,-1.93,-2.01%,96.41,96.77,94.23,1134838,09/10/20
ABCB,"Ameris Bancorp",23.4,-0.43,-1.80%,24.02,24.25,23.37,188612,09/10/20
ABEO,"Abeona Therapeutics",2.04,0.01,+0.49%,2.06,2.15,2.01,629660,09/10/20
ABG,"Asbury Automotive Group Inc",107.98,-2.84,-2.56%,112.17,112.42,107.79,133381,09/10/20
ABM,"ABM Industries Incorporated",37.78,-0.75,-1.95%,38.9,38.9,37.09,458759,09/10/20
ABMD,"Abiomed Inc",272.02,-5.91,-2.13%,279,282.83,271.16,210472,09/10/20
ABR,"Arbor Realty Trust",11.51,-0.14,-1.20%,11.7,11.91,11.5,955050,09/10/20
ABT,"Abbott Laboratories",104,-1.81,-1.71%,105.6,105.6,103.73,4268969,09/10/20
ABTX,"Allegiance Banc CS",24.76,-0.29,-1.16%,25.08,25.2,24.65,42439,09/10/20
AC,"Associated Capital Group Inc",36.22,-0.94,-2.53%,37.3,37.97,36.14,18228,09/10/20
ACA,"Arcosa Inc",44.58,-2.03,-4.36%,46.59,46.96,44.5,281510,09/10/20
ACAD,"Acadia Pharmaceutica",36.42,-1.48,-3.91%,37.99,38.04,36.35,1019466,09/10/20
ACBI,"Atlantic Capital",11.6,0.05,+0.39%,11.52,11.9,11.5,62916,09/10/20
ACC,"American Campus Communities Inc",35.01,-0.95,-2.64%,35.92,36.13,35,639113,09/10/20
ACCO,"Acco Brands Corp",6.1,-0.11,-1.77%,6.32,6.32,6.1,540341,09/10/20
ACEL,"Accel Entertainment Inc.",13.48,0.19,+1.43%,13.56,13.79,13.3,482127,09/10/20
ACGL,"Arch Capital Grp Ltd",31.16,-0.39,-1.24%,31.6,31.77,31.06,1266704,09/10/20
ACHC,"Acadia Healthcr Company",28.84,-0.24,-0.83%,29.32,29.7,28.83,543304,09/10/20
ACIA,"Acacia Communica",68.41,-0.3,-0.44%,68.59,68.9,68.27,776567,09/10/20
ACIW,"Aci Worldwide Inc",24.19,-0.72,-2.89%,25.2,25.43,24.15,2601042,09/10/20
ACLS,"Axcelis Tech Inc",20.83,-0.66,-3.07%,21.34,21.8,20.67,527451,09/10/20
ACM,"Aecom Technology Corp",37.71,-0.27,-0.71%,38.17,38.49,37.58,1422174,09/10/20
ACN,"Accenture Plc",233.65,-5.26,-2.20%,241,243.99,232.11,2023940,09/10/20
ACNB,"Acnb Corp",20.99,0.04,+0.19%,21.5,21.86,20.7,12417,09/10/20
ACRE,"Ares Commercial Real Estate Cor",9.81,-0.16,-1.60%,9.95,10.02,9.8,222766,09/10/20
ACRX,"Acelrx Pharmaceutica",1.09,-0.06,-5.22%,1.16,1.17,1.09,390010,09/10/20
ACTG,"Acacia Res-Acacia",3.82,0,0.00%,3.84,3.92,3.82,112420,09/10/20
ADBE,"Adobe Systems Inc",476.26,-3.2,-0.67%,491.15,501.85,473.5,4209137,09/10/20
ADC,"Agree Realty Corp",66.66,-0.35,-0.52%,66.99,67.63,66.32,306720,09/10/20
ADES,"Advanced Emissions Solutions Inc",3.89,0.06,+1.57%,3.8,3.9,3.52,396760,09/10/20
ADI,"Analog Devices",114.27,-1.19,-1.03%,115.81,116.85,113.67,2398826,09/10/20
ADM,"Archer Daniels Midland",46.02,-0.03,-0.07%,45.86,46.59,45.86,3121971,09/10/20
ADMA,"Adma Biologics",2.28,0.07,+3.17%,2.24,2.38,2.22,2771749,09/10/20
ADNT,"Adient Plc",17.93,-0.31,-1.70%,18.42,18.96,17.84,496317,09/10/20
ADP,"Automatic Data Procs",131.9,-5.36,-3.90%,136.43,136.72,131.28,2454282,09/10/20
ADPT,"Adaptive Biotechnologies Corp",39.17,0.88,+2.30%,38.28,40,38.28,1202364,09/10/20
ADRO,"Aduro Biotech",2.37,-0.14,-5.78%,2.5,2.53,2.36,409862,09/10/20
ADS,"Alliance Data Systems Corp",45.23,-0.42,-0.92%,46.17,47.68,45.09,708571,09/10/20
ADSK,"Autodesk Inc",228.2,-4.58,-1.97%,234,239.01,226.95,2106418,09/10/20
ADSW,"Advanced Disposal Services Inc",30.06,0.01,+0.03%,30.04,30.06,30.02,560314,09/10/20
ADT,"ADT Inc",10.94,0.22,+2.05%,10.8,11.06,10.58,3910936,09/10/20
ADTN,"Adtran Inc",10.08,-0.14,-1.37%,10.32,10.41,10.07,248913,09/10/20
ADUS,"Addus Homecare Corp",92.26,0.01,+0.01%,92.7,93.29,91.6,118915,09/10/20
ADVM,"Adverum Biotechnlgs",11.58,-0.34,-2.85%,11.94,12.23,11.52,955267,09/10/20
AEE,"Ameren Corp",76.46,-1.92,-2.45%,78.11,78.59,76.29,898178,09/10/20
AEGN,"Aegion Corp",14.63,-0.42,-2.79%,15.04,15.06,14.49,129611,09/10/20
AEIS,"Advanced Energy",57.85,-2.38,-3.95%,60.54,61.01,57.81,282603,09/10/20
AEL,"American Equity Investment Life",23.1,-0.34,-1.45%,23.59,23.89,23.07,386967,09/10/20
AEO,"American Eagle Outfitters",13.18,-0.23,-1.72%,13.64,13.98,13.16,9674961,09/10/20
AEP,"American Electric Power Company",78.52,-1.39,-1.74%,79.4,79.59,78.14,2423719,09/10/20
AERI,"Aerie Pharmaceuticals",10.83,-0.79,-6.80%,11.6,11.67,10.82,873155,09/10/20
AES,"The Aes Corp",17.36,-0.18,-1.03%,17.54,17.65,17.31,2736154,09/10/20
AFG,"American Financial Group",67.15,-0.6,-0.89%,67.89,68.96,67.08,709777,09/10/20
AFIN,"American Finance Trust Inc Cl A",6.8,-0.06,-0.88%,6.86,6.96,6.78,411138,09/10/20
